Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,135308,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,2,,458,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,5450,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,316,Guam,GUM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,2131,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,60,,,,1509,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,2017,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7,,,,26324,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,11140,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,39,,39,,4000,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,236,,,,3735,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,3600,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,341,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,141,,,0
H4,2017,2017,2017,4,0,1,Import,585,Palau,PLW,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,74455,,,0
