Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7372685,,33386617494,,,6
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,4299,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,973,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,50,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,777,,5116693,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7241,,18051505,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,95,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,490,,4929106,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,511,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1391,,10265592,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,402,,546981,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,57,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1752,,3810409,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,2254,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25,,64346,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5925,,25102161,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19,,44980,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,283,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2604816,,10210685880,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,13401,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,613,,809452,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,4967,,,6
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,894,,1637735,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,604,,708461,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,172,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1503,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,110,,48986,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,119,,139937,,,6
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20411,,209359987,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,258,French Polynesia,PYF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2412,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,98542,,407129054,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,199,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,9120,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,324,Guinea,GIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,75,,,2
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,332,Haiti,HTI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,5556,,,2
