Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5879776,,1199906139,,,6
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,114,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,6871,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,221491,,34328581,,,6
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,152058,,51211130,,,6
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,37917,,19,,44163,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5544,,2100561,,,6
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,3993,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,515,,1888771,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,75,,93712,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25599,,13180614,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,7722,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11836,,9584178,,,6
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2470,,769143,,,6
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,511,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33031,,50,,53942,,,2
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,348,,92061,,,6
H5,2017,2017,2017,4,0,1,Import,642,Romania,ROU,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,119695,,15056473,,,6
