Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,0,World,WLD,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,8672,,305709,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,28,Antigua and Barbuda,ATG,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,25,,2529,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,339,,474,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,1057,,1175,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,1,,7,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,8,,392,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,156,China,CHN,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,410,,46546,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,251,France,FRA,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,16,,1035,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,146,,1153,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,16,,650,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,1,,75,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,1554,,741,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,16,,1300,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,16,,907,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,78,,8104,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,9,,4379,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,50,,2380,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,49,,6780,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,662,Saint Lucia,LCA,,,,,,,,8542,Electronic integrated circuits.,8,Weight in kilograms,,,6,,6,,26,,,0
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,28,,440,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,5,,567,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,780,Trinidad and Tobago,TTO,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,600,,12860,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,0,,5,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,69,,13878,,,2
H3,2017,2017,2017,4,0,1,Import,670,Saint Vincent and the Grenadines,VCT,842,USA,USA,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,4165,,199294,,,2
