Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,87032,,34203020,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,7339,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,278,,33635,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,55,,5709,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,7761,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,21016,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9737,,4107263,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,2,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,80,,49522,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,120,,33849,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,81,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,165,,29385,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,52207,,8758404,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,30,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,217,,78956,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4247,,2242079,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45,,13644,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,195,,26174,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,47,,18332,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,56826,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1058,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,28774,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,482,,5828,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4002,,424158,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,408,,155618,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,566,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,241,,333522,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,6676,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2139,,1626456,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,4535,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,141,,51887,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1355,,2027580,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32,,8494,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,176,,41897,,,6
H5,2017,2017,2017,4,0,1,Import,688,Serbia,SRB,508,Mozambique,MOZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,130,,,2
