Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,252228,,64427605,,,6
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,392,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,11383,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,864,,1646858,,,6
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1061,,463132,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,1987,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,347,,105927,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,5109,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,158,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,28632,,10675278,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,315,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,45936,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1511,,106888,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,121,,61249,,,2
H5,2017,2017,2017,4,0,1,Import,705,Slovenia,SVN,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,104,,28805,,,2
