Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,518146101,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,2812,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,393,,76056,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18767,,2614269,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18943,,4726264,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,1289,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,151,,34688,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45,,8086,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2407,,450946,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,0,,117,,,4
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,1054,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,78491,,10480634,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,117,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,3750,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,1640,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,73,,13242,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2094857,,22388,,6895212,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25795,,3145373,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29875,,7444715,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3192015,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,874395,,47381472,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,807335,,185152719,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,97740,,18214926,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9287,,1756206,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1421,,270708,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,271,,3,,703,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,57050,,5835582,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2452547,,,6
H5,2017,2017,2017,4,0,1,Import,752,Sweden,SWE,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5290,,958846,,,6
