Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,768746,,617031893,,,6
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,2,,3647,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,3,,910,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11255,,5,,6927,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,13,,5428,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,2,,79,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,3,,310,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,172,,124380,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29285,,26306516,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,6,,135,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,29250,,24,,6402,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2527,,5228973,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,1,,2703,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,901,,19,,1644,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32,,8401,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4110,,4163501,,,6
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,50,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,5,,1066,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,403,,435100,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16059,,2521132,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8,,12,,2434,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,84941,,39401579,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,2,,381,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,292,,397,,232459,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1605,,46,,7767,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,192,Cuba,CUB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,25,,2957,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15027,,3686939,,,6
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1133,,457738,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,15,,1953,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,276019,,23331,,4126542,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,213,,103944,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21070,,14952169,,,6
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,262,Djibouti,DJI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,936,,,4
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,1,,475,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,148834,,122135827,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,110,,20,,4915,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,4,,,6
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,49,,2460,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10445,,6634694,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2002,,1949776,,,6
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,918,,803216,,,0
H5,2017,2017,2017,4,0,1,Import,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,723,,411211,,,6
