Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,242154,,192932008,,,6
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10070,,8,,21791,,,0
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,186271,,420,,279039,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,59,,20162,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,3217,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,194,,152248,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,64206,,439,,198192,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,34,,18578,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,4795,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,57420,,35075717,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26,,71104,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5560,,5,,3526,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,78,,449499,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,291977,,242,,129116,,,2
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,400,,2,,7200,,,0
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,500,,0,,130,,,0
H4,2017,2017,2017,4,0,1,Import,804,Ukraine,UKR,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,22342,,,2
