Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17988851,,1930836652,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,3,,3,,1410,,,0
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,3739,,,0
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,6442,,,0
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,6317,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16529,,2574254,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8513,,13153541,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4499,,25,,40994,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,155965,,23181815,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10963,,191841,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3094088,,12946,,9741519,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,3,,3,,2047,,,0
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,3392,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1419,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,3675,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7941,,3549080,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,144,,25483,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,396529,,163781048,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1000,,2134108,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25,,12942,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,54,,7608,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,108911,,36864659,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,10665,,26741,,5832312,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1177,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1854,,204316,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1070,,394296,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,538907,,60404363,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,2632,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11551725,,368739315,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,292,Gibraltar,GIB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,4624,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,119,,77487,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,336,Holy See (Vatican City State),VAT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,27936,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,55,,2326,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,118439,,24107618,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,106332,,11651028,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,1713,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13373,,8387798,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,109543,,9480017,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9890,,11172131,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,444912,,22357119,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,6,,6,,1784,,,0
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,172844,,30403160,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,65,,86126,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,50020,,47143186,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,414,Kuwait,KWT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4277,,13,,10280,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,417,Kyrgyzstan,KGZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,16842,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,26469,,1116,,86779,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2777618,,119119,,9269843,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32756,,319,,181001,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,446,"China, Macao SAR",MAC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,26208,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,89069,,142970869,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,466,Mali,MLI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,7837,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3336,,284091,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,478,Mauritania,MRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,3027,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23108,,4311644,,,6
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,346432,,105221777,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,496,Mongolia,MNG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31,,37603,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22,,1193,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,547,,276302,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,512,Oman,OMN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,155,,125896,,,2
H5,2017,2017,2017,4,0,1,Import,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2003149,,246019919,,,6
