Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,4022159,,,6
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,56,,,,12621,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,5697,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,414,,368156,,,6
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8273,,,,43386,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,76,,64946,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2000,,,,3000,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,36961,,,,1116820,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,273,,171382,,,6
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,7688,,,6
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,668,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33,,,,30297,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,472,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,600,Paraguay,PRY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,13954,,,6
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,604,Peru,PER,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1111791,,,6
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,23,,,,3008,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,3800,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1138,,1055983,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,858,Uruguay,URY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,21,,,,6159,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,862,Venezuela,VEN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,337,,,4
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,899,"Areas, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1992,,,6
