Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,113082870368,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,,,3468,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3000,,,,34657,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9000,,,,31549,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7000,,,,44231,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4788,,3292519,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17400,,13101852,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,64910,,76143264,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,18000,,,,51231,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,135000,,,,67963,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,256000,,,,146600,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42671,,27744687,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,64,Bhutan,BTN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,37000,,,,4928,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30000,,,,38618,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,,,1563,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3000,,3,,2685,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,206117,,212253347,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,,,2107,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3477,,3144187,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,323000,,,,12533,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2433,,1998075,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1905000,,,,1110636,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2000,,,,1285,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,39583,,35448869,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,765000,,602,,690392,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1167,,778098,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,104624243,,99954079187,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7293000,,1543,,1656237,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2447000,,,,821746,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,93000,,,,75185,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,192,Cuba,CUB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,,,1924,,,4
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4000,,,,26380,,,4
