Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,345671755,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,75,,40930,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,184,,,2
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,8992,,,2
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,139,,17317,,,2
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,292,,34886,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,23566179,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,298,,12,,1100,,,2
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1268536,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,162,,155584,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,785,,190429,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1021771,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,56,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20173,,109518,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,629,,1970405,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,19244,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7546,,9869418,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,1703,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,2940,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,278826,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,4166,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,11435169,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,204,Benin,BEN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,170,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1242679,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,6,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1211879,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,645473,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,2338776,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,275,State of Palestine,PSE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,788,,,2
