Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5345906,,462713783,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,148,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,117,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,78,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2273,,,2
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1888,,13,,3761,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53,,7992,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2275,,312917,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,262593,,16022894,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,4004,,,2
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,830,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,501,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,967,,11,,7402,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,252,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9919,,1577633,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3205,,36,,5182,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2003411,,41108,,5774401,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,194,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6433,,1443971,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,108,Burundi,BDI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9,,3,,31,,,2
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2321,,1097553,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,540,,,2
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,41,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1895,,96618,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,39,,96993,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9438,,163,,15654,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3795,,1377844,,,6
H5,2017,2017,2017,4,0,2,Export,616,Poland,POL,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,188,,1920,,,6
