Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,23121770,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6958,,668675,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,356,,,,198,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,126,,94838,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,115,,111820,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3843,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,200530,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20740,,,,88830,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,8086,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,144,,122671,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,271,,,,43165,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,669270,,,4
H5,2017,2017,2017,4,0,2,Export,710,South Africa,ZAF,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,874,,,4
