Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5334522,,306756320,,,6
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1378,,68382,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,75,,38506,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9133,,8046674,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,249,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1472,,1101641,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10386,,682101,,,6
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11696,,843203,,,6
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,484,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,1371,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,10972,,,2
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,7,,7,,1083,,,0
H5,2017,2017,2017,4,0,2,Export,724,Spain,ESP,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10232,,1625063,,,2
