Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,182269759,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32,,,,351,,,4
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,468,,,4
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,41243,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30,,,,351,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,28,Antigua and Barbuda,ATG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,,,234,,,4
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,9256,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,75,,42883,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,794,,552915,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16478,,9877610,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,,,234,,,4
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,234,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15,,,,234,,,4
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,249,,,,64325,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,,,234,,,4
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10086,,3450479,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,64,Bhutan,BTN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,351,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2226,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,7615,,,6
H5,2017,2017,2017,4,0,2,Export,752,Sweden,SWE,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1921,,760771,,,6
