Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,469893,,19566930,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,3646,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3741,,178,,9753,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,21911,,1031,,36794,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,195737,,66232,,324184,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1030,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,174,,2266,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,153,,32051,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,103,,,2
H5,2017,2017,2017,4,0,2,Export,792,Turkey,TUR,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1117,,,2
