Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,4114793337,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3000,,3,,509,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,1,,5920,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,225301,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,135017,,0,,104334,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1133444,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,830,,,,1066,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,66025,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,31014,,0,,35138,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2936000,,302,,484409,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,27674,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,146,,0,,744,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4760,,2,,7251,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1054385,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2430762,,0,,405807,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1354,,0,,194201,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,,,2,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,22553,,0,,5432,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,776826573,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,36000,,,,360,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,58944,,0,,3134912,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15500,,20,,33177,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,112444,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,106827,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,23326,,0,,5333,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4631,,0,,479737,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,234,Faeroe Isds,FRO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3510,,0,,197,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,242,Fiji,FJI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2417,,3,,386,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12075,,0,,167914,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,12864769,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,150,,1,,7188,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,22433663,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,296,Kiribati,KIR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,704,,0,,3635,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3003,,0,,1569,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,360,,,,540,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,49602920,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,68039,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,79,,0,,31825,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2340195,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1400957,,0,,2649840,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,660757,,0,,1975393,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1489170,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,109540860,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,408,Dem. People's Rep. of Korea,PRK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,44650,,0,,476601,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1387208296,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,65,,,,2239,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,3,,3455,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,446,"China, Macao SAR",MAC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,498500,,0,,951152,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,455301014,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,462,Maldives,MDV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,100,,,,16,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,9007421,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,480,Mauritius,MUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17895,,0,,3393,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,26039650,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,640155875,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,498,Rep. of Moldova,MDA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,1,,1250,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,500,,1,,55,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,60463347,,0,,13276115,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,516,Namibia,NAM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12000,,2,,5964,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,6429578,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,531,Curaçao,CUW,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,60000,,9,,63093,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,58020,,16,,5405,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2233,,0,,34602,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,581,United States Minor Outlying Islands,UMI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4501,,6,,1700,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2000,,32,,674,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,47577433,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20864,,0,,535593,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7137828,,0,,10327968,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,634,Qatar,QAT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,75,,,,225,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,712,,0,,43817,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,804,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,660,Anguilla,AIA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,16,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,686,Senegal,SEN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,360,,,,2228,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15,,,,30,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,248913,,0,,202974,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,86288172,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,78410,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7283615,,0,,234163308,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,705,Slovenia,SVN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,11624,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,21000,,24,,18670,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,708524,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,740,Suriname,SUR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,1175,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,184658,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,2184991,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,50510715,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,780,Trinidad and Tobago,TTO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11,,1,,2716,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,27800,,0,,80966,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,788,Tunisia,TUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10007,,0,,14575,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,165,,0,,11022,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,804,Ukraine,UKR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,600,,1,,3395,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,2046679,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,152355921,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,858,Uruguay,URY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1150,,0,,11395,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,862,Venezuela,VEN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,,,279,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,882,Samoa,WSM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,219640,,0,,828398,,,0
