Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,220894,,28170398,,,2
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,2,,2741,,,0
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,73,,2939,,,0
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,43,,171,,32490,,,0
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,58,,43,,6969,,,0
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1117,,363850,,,0
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,211,,35456,,,0
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10230,,102,,19442,,,2
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,133909,,9726045,,,2
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1182,,217843,,,0
H5,2017,2017,2017,4,0,1,Import,218,Ecuador,ECU,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,130,,269,,43773,,,0
