Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,677487,,35997065,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,7938,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3381,,542333,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10069,,729269,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2036,,347071,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,96,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,24756,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,112,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46777,,1829029,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,2370,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1119,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2144,,1225005,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1978,,531785,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,458,,42618,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5312,,83672,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23,,19566,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14316,,603647,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,173692,,9976117,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,292,Gibraltar,GIB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,564,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,72,,30433,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6542,,273033,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,271,,14778,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33,,19463,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26243,,1667069,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,91,,52672,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,144,,66502,,,2
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,422,Lebanon,LBN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,134,,,2
