Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,4281094,,,6
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,39,,3033,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,1,,1298,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2005,,7,,6558,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,4397,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,3,,133,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,50,,107,,55772,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,2,,482,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12529,,1372386,,,4
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,245,,4307,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,650,,269833,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,51,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,28,,93,,8607,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,2,,478,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,80,,12411,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8,,95,,9366,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,137,,1546,,66080,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,256,,503,,135555,,,0
