Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,2698543471,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,48,,4615,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,36879810,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,694,,30102,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,32878711,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,369,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,648,,112208,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1089312,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,146,,99833,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,959139,,583,,936004,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,288,,288,,233548,,,0
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,59231,,93230585,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53,,28479,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,270494,,,6
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,17909,,,0
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,18542225,,,6
