Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1411635893,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1330,,155963,,,2
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,529,,8701,,,2
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,36320,,781203,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7955,,18465848,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,83,,11473,,,2
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1105,,2270429,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,136,,6949,,,2
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,394,,3513689,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,440,,,2
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,797,,280540,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1110,,1110,,68692,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1964816,,138895372,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1200,,215270,,,6
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,128,,128,,6171,,,0
