Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8627,,1165351,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,3836,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1996,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,2435,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1107,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5645,,600498,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1777,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,2312,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,3258,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,813,,97551,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,93,,27173,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,2675,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,659,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,259,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,43,,13846,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,51,,11980,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,109,,9124,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,66,,8198,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,480,Mauritius,MUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,723,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,6593,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,78,,12038,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,2744,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,98,,23705,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,568,"Other Europe, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,545,,72702,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,586,Pakistan,PAK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,86,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,3219,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,49,,53089,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,64,,23443,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,104,,4991,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,404,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,2918,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,74,,6987,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46,,31170,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,49,,5238,,,2
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,129,,8837,,,2
