Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,30835752465,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,170,,170,,2276,,,0
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25376,,2904602,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,505169,,136693509,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17,,,,2556,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,464150,,,,40573,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26743,,57279579,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3373912,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30,,,,4368,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6653,,5557385,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,480,,,,1167,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,2,,1913,,,0
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,155773,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12035,,10270959,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1845,,,,17106,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,30033269,,3797134294,,,4
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,619,,,,1916,,,4
