Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,321133,,7954136,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,30,,7229,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,317919,,7731370,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,461,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2514,,153652,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,6218,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,1445,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,350,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19,,1876,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,81,,19447,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,531,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,147,,2077,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,167,,1429,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,3694,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,30,,30,,4904,,,0
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,4,,4,,236,,,0
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,1119,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,3125,,,2
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,103,,14965,,,2
