Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,10948316,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,11279,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,778216,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3452,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6583,,2246663,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,11493,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,68,,60760,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,16107,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,192,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,279,,247656,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,437,,277337,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,71098,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,5722,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,447,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1278,,,,811,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,188734,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,102,,90679,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2246074,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,17061,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,55084,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,7229,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,483,,426365,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,12216,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,4361,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,240905,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1398865,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,252,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,11624,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,5491,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,6984,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,179,,128404,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1422,,1235686,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,151017,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,728,,534337,,,6
H4,2017,2017,2017,4,0,1,Import,566,Nigeria,NGA,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,631,,455699,,,6
