Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14383388,,43604553758,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,0,,32,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,604,,84827,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,52708,,651,,272893,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,337,,365117,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3886,,16674103,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4063,,30510775,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,56,,56,,5983,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8808495,,2360,,340886,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,841367,,16,,25086,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14967548,,943,,1107124,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,200,,0,,65,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,37667428,,65,,194707,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,845956,,133,,154398,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1213,,6304424,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,9,,263,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5239395,,9513693561,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,166,Cocos Isds,CCK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,52,,1,,5194,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,178,Congo,COG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2400,,0,,197,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2348,,11000062,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1212,,47,,3156,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,313,,348711,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,173174,,222,,363046,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,180000,,20,,6871,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,0,,32,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2562,,58,,99589,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33046,,423663452,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,258,French Polynesia,PYF,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3000,,1,,558,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,126303,,826710645,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,49380,,56967607,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,61410,,2518,,829430,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10828,,9315390,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8066,,39317006,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16788,,102218496,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,59895,,345797715,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2285106,,6233720008,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3000,,2,,1874,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,150,,7,,41821,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1832030,,7385415791,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,417,Kyrgyzstan,KGZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16284,,1,,17721,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,899290,,17,,380801,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,42,,5,,591,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,446,"China, Macao SAR",MAC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,97561,,42,,223344,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,454,Malawi,MWI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5000,,1,,493,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1026315,,2040751480,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,462,Maldives,MDV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6001,,3,,3254,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,466,Mali,MLI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,35001,,6,,6148,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12075254,,6728,,11928852,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,480,Mauritius,MUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15123,,5,,15715,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21968,,36228480,,,6
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,498,Rep. of Moldova,MDA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,57,,9,,73385,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,2,,1512,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18340,,6670463,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,512,Oman,OMN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,15,,2005,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,516,Namibia,NAM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30528,,11,,46490,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,113946389,,9594,,81203352,,,4
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,60807,,7,,18773,,,4
