Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,15569914,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,645,,645,,3537,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1648,,,,13564,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,102,,,,554,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,,,42,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8274,,,,51548,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,8478102,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7327,,,,46132,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2255,,,,26416,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5200,,,,31442,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,13969,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,74788,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,869260,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,297070,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,54,,,,289,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2842,,,,18155,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,69276,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,818858,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,408,Dem. People's Rep. of Korea,PRK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,113,,,,692,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3988,,,,108661,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,422,Lebanon,LBN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,736,,,,5171,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,356012,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6008,,,,36172,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,220556,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,8279,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,117,,,,625,,,0
H5,2017,2017,2017,4,0,1,Import,586,Pakistan,PAK,568,"Other Europe, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,144084,,,0
