Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,292669,,33421087,,,2
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,93,,22,,32840,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,207,,172,,22170,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,97,,10657,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,36,,18694,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1645,,864,,64493,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,2206,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5000,,3,,198,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,507,,227836,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,219,,11726,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,200065,,19540344,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,302,,932,,34057,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,125,,279,,88431,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,53,,36,,23950,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,124,,20723,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,22,,4099,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,73,,352,,42441,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,840,,241,,69743,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3214,,409568,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10330,,3,,980,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,3,,2111,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1514,,572,,41959,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1009,,7,,8992,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1735,,417279,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1159,,130968,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1023,,257587,,,2
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,355,,73780,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,422,Lebanon,LBN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,4,,552,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,132676,,34302,,5167750,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,466,Mali,MLI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,714,,73,,1792,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1749,,96,,8084,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2867,,294214,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1390,,102147,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33810,,145,,6068,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,25,,2832,,517282,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,77,,16828,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,13,,5965,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,65537,,549,,62243,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,29,,93,,5875,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11,,11,,2102,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,540,,0,,263,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,19352,,309,,30962,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5440,,199,,25895,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,7,,1451,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,24867,,20893,,4176513,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,705,Slovenia,SVN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,6,,1709,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2450,,110368,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,226,,17947,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,388,,84229,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,45953,,606,,56026,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,28,,1126,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,197,,166,,24901,,,0
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12833,,1136629,,,2
H5,2017,2017,2017,4,0,1,Import,604,Peru,PER,858,Uruguay,URY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,23,,30,,4306,,,0
