Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,154788528,,,6
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,462885,,,6
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2746,,2488217,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,55,,50888,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2279,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,838,,13,,12629,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,3359,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2175,,,,991,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,121,,66952,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,78,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,25,,0,,6,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,55080,,32303215,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,,,82,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,178,Congo,COG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,20,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3139,,218,,193884,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,236146,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,610,,180799,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,309,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30,,,,280,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9,,,,2832,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,166,,34031,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1252,,976950,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,258,French Polynesia,PYF,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,321,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,,,208,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,14051590,,,6
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,7667,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,328,Guyana,GUY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,2,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10829,,1141244,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,126,,76842,,,4
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,63,,,,93,,,4
