Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31015,,798135,,,6
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,2097,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6313,,30313,,,6
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,50,,31718,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,311,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,114,,55950,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,409,,2744,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,81,,81,,11998,,,0
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,58,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,4188,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,480,Mauritius,MUS,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,13,,13,,2325,,,0
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,66,,3282,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,5,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2663,,58529,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1716,,620,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10679,,562788,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,748,Swaziland,SWZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,546,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,276,,18262,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8452,,8215,,,6
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,148,,1681,,,2
H5,2017,2017,2017,4,0,1,Import,894,Zambia,ZMB,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,2494,,,2
