Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3648719,,893980975,,,6
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,2898,,,2
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41,,43649,,,2
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23,,12304,,,2
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,753,,,2
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,39,,28393,,,2
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,667,,973339,,,6
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20972,,2620808,,,2
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1254,,,2
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,868,,,6
