Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,910668343,,,6
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,1537,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,16005,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,23395,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,254260,,,4
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,3395946,,,6
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,725784,,,6
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,14,,,,3711,,,6
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,,,1686,,,4
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,338,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,24,,0,,2910,,,4
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,196979,,,6
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,60,Bermuda,BMU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,26,,,,1900,,,4
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,3,,3375,,,4
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,,,709,,,6
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1454038,,,6
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8,,0,,7602,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,65235,,,6
