Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2764903000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,3,,,,1000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,11,,,,3000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,49000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1966,,1333000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,390000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,6000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,15857000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,53000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,149000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,61000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,272000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,86000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,3,,,,1000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,108,Burundi,BDI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,178,,,,46000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,19,,,,5000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5437,,5965000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,6000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,19,,,,5000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,106000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1574954,,1383962000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,152000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,63000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,24000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,405000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1579000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1803,,2000000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,7000,,,6
