Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20983,,512072,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14,,14,,301,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,4886,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1230,,1230,,325407,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16,,9,,4519,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,430,Liberia,LBR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,5,,5,,652,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,125,,64,,18196,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,646,Rwanda,RWA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,150,,72,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,706,Somalia,SOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14345,,132981,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,281,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,728,South Sudan,SSD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3253,,15063,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,35,,300,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,800,Uganda,UGA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4105,,1120,,6580,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,834,United Rep. of Tanzania,TZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,686,,2536,,,0
H4,2017,2017,2017,4,0,2,Export,404,Kenya,KEN,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,55,,290,,,0
