Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7089,,2051678,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1961,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,101,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,5425,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,728,,487395,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19,,25742,,,2
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,665,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,3404,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,700,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1390,,,2
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,60,,8681,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,804,,129628,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,154,,25713,,,2
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,81,,75362,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,502,,438194,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,30,,4464,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,9362,,,2
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,534,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,575,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,481,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,202,,,2
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4004,,300005,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,480,Mauritius,MUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,247,,,2
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,210,,50611,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,52,,189749,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,57,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,37,,67190,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,793,,,2
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56,,159400,,,2
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,705,Slovenia,SVN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,6074,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,226,,,6
H5,2017,2017,2017,4,0,2,Export,688,Serbia,SRB,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,30,,14841,,,6
