Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,80025676746,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,0,,,,344,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,80,,3,,3088,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33170,,,,114874,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,678,,654498,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,88567,,78261680,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29295,,30923618,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,,,4363,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,,,12479,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4006,,3627121,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5000,,,,121,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6748,,5957110,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,64,Bhutan,BTN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,67506,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,81840,,,,33676,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,5,,,,1371,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,6,,,,1739,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,195044,,214891282,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,90,Solomon Isds,SLB,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,3,,,,808,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,418400,,,,212725,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5553,,1481813,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2091054,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4436,,5052568,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,15725,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,175461,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3433690,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,44126,,44364629,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,132,Cabo Verde,CPV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,0,,,,540,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2220,,1428442,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,192144,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15432094,,14458698233,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,330643,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,184,Cook Isds,COK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,78180,,,,130946,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7320,,,,37211,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,104950,,,,10604,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,,,1,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,39149,,38044669,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,291,,218408,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,156300,,,,65077,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,27600,,,,35123,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,623,,,,160631,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5156300,,165,,156921,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,90532,,74753231,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,849683,,895823095,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,258,French Polynesia,PYF,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,100,,,,1827,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,262,Djibouti,DJI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,430,,,,26440,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,41000,,,,3786,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1858191,,1847145608,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,288,Ghana,GHA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,0,,,,773,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,867,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,316,Guam,GUM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,,,8167,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,,,3259,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25912245,,25379086253,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45057,,41555231,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,7,,,,1846,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,810878,,593070410,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30697940,,,,8133122,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,368,Iraq,IRQ,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,4,,,,1274,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40185,,21067917,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,122889,,119944322,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,103611,,75783647,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,0,,,,10672,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3551498,,3541615346,,,6
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,140,,,,31146,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,0,,,,21,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3010,,,,870,,,4
H4,2017,2017,2017,4,0,2,Export,702,Singapore,SGP,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5215468,,4980753623,,,6
