Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,537899242,,,6
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,0,,171,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,213,,55,,82237,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,117075,,23,,55833,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,0,,189,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,27,,5,,31783,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,326,,44,,40615,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,570,,1808938,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12372,,7091721,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,141,,32,,14213,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,61,,76755,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,2,,14197,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1628,,3787537,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,60,Bermuda,BMU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,17,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,411,,,6
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,893,,1676231,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17,,0,,184,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3144,,1584574,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,6,,4864,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,409,,120,,78254,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15,,5,,3209,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,2,,9595,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1272,,2619335,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,79904,,13980545,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,38610,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32698,,46051887,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,49810,,,6
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,178,Congo,COG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,100,,67,,25216,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,1,,891,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,0,,209,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,99,,60107,,,6
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,192,Cuba,CUB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,29,,8240,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,4722,,,6
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8981,,2929861,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2465,,1618684,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,120,,14,,2599,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,64,,15,,25570,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,18,,2,,4935,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,341019,,3062,,893687,,,4
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,242,Fiji,FJI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,409,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1491,,499938,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45574,,39425580,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,11,,45730,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,270,Gambia,GMB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,773,,,0
H5,2017,2017,2017,4,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,107822,,131528729,,,6
