Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8230,,282677,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,299,,4744,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,272,,21,,395,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,44,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,124,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,172,,648,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,113,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,252,,10278,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,900,,18324,,,2
H4,2017,2017,2017,4,0,1,Import,84,Belize,BLZ,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6570,,248003,,,2
