Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,37142,,2982005,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,75,,9570,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,354,,18762,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,13,,8,,14755,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,9,,2877,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,601,,39437,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,21,,13,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,2,,151,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,299,,52502,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1451,,111004,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22070,,974232,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,92,,9266,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,35,,46,,22517,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,46,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,10,,670,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,35,,4209,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,243,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,236,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,3,,129,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,2016,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,270,,13334,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,768,,103391,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,328,Guyana,GUY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,45,,,0
