Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1532626,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1851,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,3299,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,559076,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,2,,542,,,0
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,216,,321,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,184577,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,322,,32506,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,542,,879,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,2,,5,,,0
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,762,,139542,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,330,,19028,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,43,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,110,,8607,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,552,,21884,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,464,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1644,,1571,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,566,Nigeria,NGA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14700,,10239,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,12214,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,5056,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,142,,247,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,26828,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,66,,3062,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,25761,,7468,,17139,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,794,,36417,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,314,,200994,,,2
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4684,,246222,,,2
