Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,139977235233,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4000,,,,3483,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,146000,,,,7024,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41116,,32789708,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31596,,27801033,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,74000,,2426,,2149319,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1392000,,196,,201459,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,28320,,21222927,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,,,1499,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3467,,3249649,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27972,,25424873,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1464,,1946177,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,287000,,,,1534126,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25378,,20691110,,,4
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,377000,,,,2462556,,,4
