Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,76317,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24,,23809,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,92,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,4322,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,9230,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,23,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,746,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,97,,20999,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,320,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,748,Swaziland,SWZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,440,,,6
H5,2017,2017,2017,4,0,1,Import,242,Fiji,FJI,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,16329,,,6
