Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,0,World,WLD,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,8124,,157883,,,6
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,3,,304,,332,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,156,China,CHN,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,1262,,473,,14958,,,4
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,2,,29,,124,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,40,,93,,508,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,2,,1,,118,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,3494,,28308,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,9,,6,,1066,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,23,,50,,1727,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,1,,1,,304,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,1,,88,,2091,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,219,,260,,11866,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,699,India,IND,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,28,,150,,1100,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,740,Suriname,SUR,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,1,,2,,400,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,7,,8,,284,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,780,Trinidad and Tobago,TTO,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,7,,0,,1814,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,15,,563,,3485,,,0
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,842,USA,USA,,,,,,,,8542,Electronic integrated circuits.,1,No Quantity,,,0,,2598,,89326,,,2
H3,2017,2017,2017,4,0,1,Import,328,Guyana,GUY,858,Uruguay,URY,,,,,,,,8542,Electronic integrated circuits.,5,Number of items,,,1,,0,,64,,,0
