Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,193084,,769277,,,4
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,140,,2745,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,3,,10113,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,164848,,130016,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,2,,6898,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,1,,855,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,8,,267,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,15,,565,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,14,,2069,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,200,,2,,156,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,196,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,70,,14426,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32,,42,,12829,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11,,1,,383,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,2,,599,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,2,,947,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,4,,139,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3097,,248870,,,4
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,86,,143,,39285,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,226,,6398,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21858,,211056,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,57,,69,,15009,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1563,,3345,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,10,,1126,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,571,,2535,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,221,,261,,51137,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,108,,114,,5992,,,0
H4,2017,2017,2017,4,0,1,Import,508,Mozambique,MOZ,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,1313,,,0
