Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,34859125,,12720090592,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,556,,88654,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,22382,,23560,,173987,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,83,,6850,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13012,,457667,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,131372,,27465774,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,19,,19,,18411,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,76,,76,,14929,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,113786,,101442707,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,201,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,92,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,352,,27279,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,88,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2420,,22124105,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,511,,591,,13854,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,888,,745,,214397,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,119,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,636,,1432694,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1411,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,6,,6,,118,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,2,,1131,,,0
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7002469,,754116359,,,2
H4,2017,2017,2017,4,0,1,Import,608,Philippines,PHL,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,8,,8,,807,,,0
