Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7209536,,2212989789,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1634990,,3110,,1309625,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,246,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,189,,20101,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,164988,,14157666,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,85802,,11639856,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,106,,52382,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4082,,113481,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,17,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17339,,4,,32812,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,171,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6949,,8476806,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,140,Central African Rep.,CAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2104,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1872,,4,,3355,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,87,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,12543,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,680040,,207279222,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,166,Cocos Isds,CCK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8961,,15472062,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,760,,25937,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,44228,,146,,137062,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,402692,,26305196,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40129,,10089625,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,434,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,98254,,616,,288767,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2965,,1048635,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,266547,,87493254,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,258,French Polynesia,PYF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,135,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,165,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1751119,,218395012,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,4076,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2891,,2989061,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,124074,,9212802,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24278,,2328855,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,9763,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23179,,4444561,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,771,,227161,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,966927,,35143036,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,97536,,30664610,,,6
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,83,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,725,,,0
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,928,,82036,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,408,Dem. People's Rep. of Korea,PRK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23,,17726,,,2
H5,2017,2017,2017,4,0,1,Import,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,148382,,161139458,,,2
