Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7898,,5941216,,,6
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,0,,151,,,4
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1414,,2,,1942,,,4
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,399,,30,,9079,,,0
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,1,,74,,,0
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2489,,1386285,,,6
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,4,,2536,,,4
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,714,,581,,253065,,,4
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,322,,,0
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,188,,,4
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1619,,10,,6250,,,4
H4,2017,2017,2017,4,0,1,Import,498,Rep. of Moldova,MDA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,72,,56936,,,6
