Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,33451992095,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,15383,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,124776,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1339,,384650,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10268,,8250928,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19212,,16122244,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,14727,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10727,,8684970,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,9954,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,37,,38158,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7779,,6854554,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,84,Belize,BLZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,28213,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,86,Br. Indian Ocean Terr.,IOT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,8224208,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1339456,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,532,,487602,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,823939,,708256558,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,12810,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,184758,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,40346,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,172243,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3105516,,2749292993,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45,,43540,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25421,,21438628,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,4855529,,,6
