Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46841,,52005073,,,6
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2015,,22,,12532,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2340,,695256,,,6
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,104,,110736,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,327,,36289,,,6
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,39186,,42,,14111,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,449,,139408,,,6
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2387194,,1749,,7051504,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1527,,3057995,,,6
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1718,,48,,39257,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,192,Cuba,CUB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,11728,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7655,,45,,186782,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,136,,21,,5251,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,840953,,257,,295770,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,121,,11,,3194,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,226,Equatorial Guinea,GNQ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,14,,17,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33322,,256,,132601,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,175,,38,,158,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,38875,,38,,176706,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,502,,89257,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,288,Ghana,GHA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,163,,1827,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,214,,75,,15412,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,29,,8,,1674,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5959440,,9749,,2555882,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,44108,,463,,125236,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,3,,3,,130,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,140,,2,,40,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,43,,56709,,,4
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33727,,103,,75298,,,4
