Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2320727,,241451217,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,2,,11011,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,7,,7,,1441,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,188,,41668,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1648,,1256741,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10386,,856207,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5559,,884141,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,350,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10492,,491,,37731,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,461,,91143,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,65,,17685,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,564,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7911,,953268,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53,,10346,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8037,,10422648,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,3422,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,418,,100402,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33,,7,,196,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4484,,328571,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,2232,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2398,,320412,,,2
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,234,Faeroe Isds,FRO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,67155,,1640820,,,2
