Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,427123,,,4
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12875,,12800,,47443,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,2,,648,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,3,,1456,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,579,,,,162682,,,4
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,8222,,4800,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,1,,,4
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,3,,25,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,36,,384,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,153,,52,,32463,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3360,,15,,17740,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,508,Mozambique,MOZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,13,,427,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,13,,104,,295,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12414,,12385,,46210,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,604,Peru,PER,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,2706,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,2,,4068,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,260,,321,,102103,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,858,Uruguay,URY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,1528,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,899,"Areas, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3538,,24,,2138,,,0
