Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,26671120593,,,6
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11200,,,,65323,,,0
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1171346,,,4
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,918851,,,4
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,85,,5,,4779,,,4
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1739730,,,,1544493,,,4
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,4664555,,,4
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,49841646,,0,,23472587,,,4
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,647886,,,,241375,,,4
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1492,,,,41926,,,0
