Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9318,,879036,,,6
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,22030,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,4520,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4450,,86615,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,392,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,178,Congo,COG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,6745,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,3969,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,62,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,560,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,2020,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,247,,33433,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,950,,310629,,,2
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,7987,,,2
