Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,32766456256,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2621,,,,23808,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,93683,,86212465,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,7253320,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,221,,32518,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,43208223,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,16,,16,,7511,,,0
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,31390698,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,84,Belize,BLZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,160000,,,,78378,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2588,,,,199139,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,22145501,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,10624,,,0
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,20305,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25444,,25124319,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,777,,682128,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24210534,,7659861799,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,166,Cocos Isds,CCK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1046000,,,,1796036,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,1176,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11390,,10071436,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6178,,,,70990,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,14619771,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1186,,1755257,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,279,,262862,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,242,Fiji,FJI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,391709,,,,4980939,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3123,,3065454,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,519990218,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,560749,,,,582789,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3115207,,1101880621,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,288,Ghana,GHA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,10261,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7724,,,,8016,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25581205,,5508427939,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,54611958,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,682047,,174883533,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,36059,,36059,,104681,,,0
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3774742,,,4
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,15061222,,,4
