Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,713670,,323330179,,,6
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19,,18304,,,6
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,5690,,,2
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5834,,457295,,,6
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,2444,,,6
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,8208,,,6
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,44,,,6
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,803,,,2
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5898,,645769,,,6
H5,2017,2017,2017,4,0,2,Export,620,Portugal,PRT,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,112,,60492,,,6
