Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10650798,,1541302537,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56,,5801,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,553,,50871,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,8203,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,600,,89314,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,28,Antigua and Barbuda,ATG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33,,1227,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41,,105662,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,255,,283539,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10282,,5014929,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,106437,,18163523,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,285,,2002357,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,164,,33780,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10260,,21,,4530,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,48,,9953,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,172804,,22083469,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,60,Bermuda,BMU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,233,,7036,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32,,9835,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,190,,4275,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45768,,880184,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,84,Belize,BLZ,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,9,,9,,1283,,,0
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,4112,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,787694,,13781840,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,69,,27795,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,79,,17363,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,316,,79696,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32103,,5918522,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,132,Cabo Verde,CPV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,3710,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,140,Central African Rep.,CAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,1620,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,186,,147768,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,26194,,1231,,11565,,,2
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,510,,117760,,,6
H5,2017,2017,2017,4,0,2,Export,826,United Kingdom,GBR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,54032,,31233132,,,6
