Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1397288,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,329,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,,,29,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,21925,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,17772,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,349880,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,150,,0,,297,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,,,5167,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,769,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,18,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,5431,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,,,14690,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,384,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,,,7,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,18,,,,42846,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11,,,,8332,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,120708,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,308,,,4
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,18,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,212457,,,6
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,595912,,,6
