Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,633436,,233318976,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,3,,36800,,,0
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17535,,3926406,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,28607,,8163862,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,103691,,78,,108056,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6548,,2939295,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,656,,1,,234,,,2
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,361,,,2
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1863,,937442,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,491113,,96,,210124,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,901,,2,,562,,,2
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,278,,202132,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9027,,102,,11577,,,0
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26960,,16931610,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,613538,,34,,219618,,,2
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,195340,,60147054,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,124,,364845,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5504,,3750721,,,6
