Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1983071767,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,,,2699,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8113,,,,186198,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1227465,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2439108,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,37265,,,,17795,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,93091,,,,771993,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,200,,,,22,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15,,,,58,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2038,,,,791,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,57574270,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,356,,,,5898,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,12557,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,276,,,,1583,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,158546189,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,2942,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1846528,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,211,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,,,29,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,279754,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1018189,,,0
