Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,65683,,5773327,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1635,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,110,,11281,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,101,,4857,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,179,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,79,,22014,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1501,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,262,,56528,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1311,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,35617,,2131989,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,367,,6369,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,67,,20287,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1248,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,116,,76900,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,265,,11244,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,44,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,188,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,39,,21601,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,150,,44968,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,787,,354895,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,91,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,37,,168,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,8428,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1128,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,116,,28547,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,89,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,60,,28151,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1269,,157386,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,573,,132966,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3348,,218918,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,417,Kyrgyzstan,KGZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24,,1131,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,14237,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5561,,663171,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1835,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4987,,218053,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1350,,176339,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,12274,,,2
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,558,Nicaragua,NIC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,924,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,3572,,,0
H5,2017,2017,2017,4,0,1,Import,222,El Salvador,SLV,604,Peru,PER,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,36,,,0
