Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10082529,,1455585577,,,6
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,138433,,10886,,58998,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,187,,78839,,,6
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,54302,,10148923,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2023202,,10425307,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,87,,53492,,,0
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,293930,,7414108,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,83,,31181,,,0
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,858,,647640,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1230,,,4
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,38,,6285,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,303791,,54672785,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,1340,,,0
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,255,,51433,,,0
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,815,,129048,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,30,,3088,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,127367,,22337755,,,2
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6855,,1557117,,,2
